a,Estimated Internet users per 100 inhabitants,c,d,e,f,g,h,i,j,k,l,Metadata for estimated Internet users per 100 inhabitants,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff
Burundi,0.077248447383456,0.106001245363203,0.118228412267794,0.201273196735924,0.349060461879596,0.542142865759056,0.657592590351907,0.7,0.81,1.9,,,,,,,,,,,,,,,,,Agence de Régulation et de Contrôle des Télécommunications (ARCT),,Agence de Régulation et de Contrôle des Télécommunications (ARCT),ITU estimate. ,Agence de Régulation et de Contrôle des Télécommunications (ARCT)
Cambodia,0.047022640068885,0.0769560555527296,0.226983237666204,0.260570197574002,0.300436644360101,0.317321781089656,0.468356720063827,0.49,0.51,0.53,,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,ITU estimate.,,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC),,MINISTRY OF POSTS & TELECOMMUNICATIONS OF CAMBODIA (MPTC)
Cameroon,0.252120077733662,0.277051321848797,0.360871584267755,0.587622611130454,0.976075415490902,1.40265422575955,2.0287447914719,2.93,3.8,3.84,,,,,,,,,,,,,,,,,Agence de Régulation des Statistiques,,Agence de Régulation des Statistiques,,Agence de Régulation des Statistiques
Canada,51.3,60.2,61.5932992681952,64.2,65.9559634648989,71.66,72.4,73.2,76.7,80.3,,"Survey result, scope age unknown.",Statistics Canada.,"Survey result, scope age unknown.",Statistics Canada.,"Survey result, scope age unknown.",Statistics Canada.,"Survey result, scope age unknown.",Statistics Canada.,"Survey result, scope age unknown.",Statistics Canada.,Population age 16+.,Statistics Canada.,Estimated based on Survey's results 2005 and 2007. Population age 16+.,ITU estimate.,Population age 16+.,Statistics Canada.,Estimated based on Survey's results 2007 and 2009. Population age 16+.,ITU estimate.,Population age 16+.,ITU estimate.
Cape Verde,1.82244385164396,2.68533271272311,3.5187571749658,4.32488539053715,5.31883206957883,6.07408710659813,6.80891100753313,8.28321981953034,20.0,29.67,,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,ITU estimate.,,Cabo Verde Telecom.,,Cabo Verde Telecom.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,Instituto das Comunicações e das Tecnologias de Informação.,,ITU estimate.,,ITU estimate.
Cayman Islands,,,,,,38.0343830823064,38.8586654824026,39.984006397441,41.3282541507942,,,,,,,,,,,,,Tower Omnibus Survey.,ITU estimate.,,ITU estimate.,,Cable and Wireless (W.I.) Ltd. (C&W).,,ITU estimate.,,
Central African Rep.,0.0533941742150456,0.0785434278394038,0.128537116506299,0.151563337940017,0.223401395464406,0.268195609199012,0.311159173235716,0.375815961044797,0.437862374324857,0.511035078940222,,,,,,,,,,,,,,,,,Société Centrafricaine des Télécommunications.,,Société Centrafricaine des Télécommunications.,,ITU estimate.
Chad,0.03570707628555,0.0459341343557353,0.166069664674347,0.320308555366775,0.360920107034467,0.399257700084004,0.581045764229641,0.847224520710968,1.19116700188855,1.5,,,SOTEL.,,SOTEL.,,SOTEL.,,SOTEL.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications.,,ITU estimate. 
Chile,16.6,19.1,22.1,25.4737788864723,28.1779101232438,31.1753470303684,34.4977511736017,36.6,38.9,41.3,,Internet users 5+ over the total population.,"OSILAC, ECLAC.",Estimated based on 2000 and 2003 surveys. Internet users 5+ over the total population.,ITU estimate.,Estimated based on 2000 and 2003 surveys. Internet users 5+ over the total population.,ITU estimate.,Internet users 5+ over the total population.,Ministerio de Planificación.,Estimated based on 2003 and 2006 surveys. Internet users 5+ over the total population.,ITU estimate.,Estimated based on 2003 and 2006 surveys. Internet users 5+ over the total population.,ITU estimate.,Internet users 5+ over the total population.,Ministerio de Planificación.,"Estimated based on 2002, 2003 and 2006 surveys' results. Internet users 5+ over the total population.",ITU estimate.,"Estimated based on 2002, 2003 and 2006 surveys' results. Internet users 5+ over the total population.",ITU estimate.,"Estimated based on 2002, 2003 and 2006 surveys' results. Internet users 5+ over the total population.",ITU estimate.
China,1.77591320677415,2.63965021485872,4.59570433077551,6.2,7.3,8.52325700269541,10.5231526193851,16.0,22.6,28.9,,,CNNIC.,,CNNIC.,,CNNIC.,,CNNIC.,,CNNIC.,,CNNIC.,Population age 6+. Online at least one hour per week.,CNNIC.,,CNNIC.,,Ministry of Information Industry (MII).,,Ministry of Industry and Information Technology
